UF,Regiao,Percentual_nunca_fez_exame
Rondônia,Norte,39.0
Acre,Norte,46.3
Amazonas,Norte,35.6
Roraima,Norte,44.7
Pará,Norte,45.5
Amapá,Norte,53.2
Tocantins,Norte,35.6
Maranhão,Nordeste,43.6
Piauí,Nordeste,33.7
Ceará,Nordeste,41.0
Rio Grande do Norte,Nordeste,31.6
Paraíba,Nordeste,32.0
Pernambuco,Nordeste,39.1
Alagoas,Nordeste,34.8
Sergipe,Nordeste,27.3
Bahia,Nordeste,23.3
Minas Gerais,Sudeste,21.5
Espírito Santo,Sudeste,20.3
Rio de Janeiro,Sudeste,19.3
São Paulo,Sudeste,12.9
Paraná,Sul,26.4
Santa Catarina,Sul,27.5
Rio Grande do Sul,Sul,20.4
Mato Grosso do Sul,Centro-oeste,24.3
Mato Grosso,Centro-oeste,31.6
Goiás,Centro-oeste,21.2
Distrito Federal,Centro-oeste,22.3
