UF,Regiao,Total_exames,Ate_30_dias_%,31_60_dias_%,Mais_60_dias_%
Acre,Norte,2.381,18.7,26.2,55.1
Amapá,Norte,13.092,83.1,12.9,4.0
Amazonas,Norte,62.940,51.3,21.1,27.6
Pará,Norte,32.567,43.5,35.7,20.8
Rondônia,Norte,10.061,60.1,15.4,24.5
Roraima,Norte,2.274,26.1,23.1,50.7
Tocantins,Norte,17.341,50.8,22.4,26.8
Alagoas,Nordeste,62.016,67.0,24.0,9.0
Bahia,Nordeste,328.618,63.4,19.8,16.9
Ceará,Nordeste,127.330,44.4,25.7,29.9
Maranhão,Nordeste,58.602,73.7,18.8,7.5
Paraíba,Nordeste,69.148,55.0,25.8,19.2
Pernambuco,Nordeste,165.965,64.4,18.7,16.9
Piauí,Nordeste,88.580,87.2,11.1,1.7
Rio Grande do Norte,Nordeste,72.601,58.0,21.4,20.6
Sergipe,Nordeste,53.378,62.8,30.1,7.0
Espírito Santo,Sudeste,98.633,26.1,27.3,46.6
Minas Gerais,Sudeste,399.938,35.7,25.7,38.6
Rio de Janeiro,Sudeste,275.648,39.4,30.1,30.6
São Paulo,Sudeste,531.944,37.8,25.4,36.7
Paraná,Sul,250.468,36.3,30.8,32.9
Rio Grande do Sul,Sul,322.842,54.6,22.1,23.3
Santa Catarina,Sul,167.345,39.7,27.3,33.0
Distrito Federal,Centro-oeste,27.786,43.5,20.4,36.1
Goiás,Centro-oeste,112.325,69.6,18.0,12.5
Mato Grosso,Centro-oeste,43.272,49.1,29.7,21.2
Mato Grosso do Sul,Centro-oeste,55.843,74.3,15.6,10.1
